Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10
2,38,1,779,183,1,0,2,7,3
1,42,7,952,65,1,4,1,16,6
1,77,1,497,187,1,1,2,74,7
2,10,4,136,84,1,1,1,76,9
2,48,10,954,41,1,0,2,93,3
2,50,10,969,13,2,2,2,78,6
1,68,1,301,122,2,3,1,53,1
2,58,7,550,173,2,0,1,47,2
2,91,8,979,47,2,4,2,90,1
1,84,9,279,8,1,0,2,35,0
1,69,4,326,108,1,5,2,45,6
1,76,6,473,52,2,1,1,90,3
2,99,10,91,133,2,1,2,99,9
1,26,3,478,148,1,3,1,69,7
2,62,4,431,135,1,4,2,38,4
2,59,4,973,86,1,5,2,80,6
2,30,3,901,5,1,1,2,2,5
2,43,3,546,53,2,3,2,48,7
1,34,8,966,116,2,2,2,65,8
2,94,7,406,115,2,5,2,5,2
2,38,6,987,179,1,0,2,74,10
2,29,7,874,101,2,5,1,86,9
1,58,1,784,91,1,3,2,30,3
1,73,5,893,180,1,2,2,51,5
1,90,8,868,34,2,2,2,21,5
1,13,3,183,65,1,2,2,19,2
1,36,1,547,135,2,2,2,65,10
1,35,1,538,41,2,1,1,64,4
2,73,9,692,200,1,1,1,32,10
1,7,5,96,117,1,0,2,80,1
2,84,6,487,183,1,5,1,65,3
2,37,9,370,112,2,4,1,105,6
1,66,2,293,166,2,1,2,99,0
1,21,8,574,148,1,5,2,34,2
1,50,8,619,174,2,5,2,31,1
1,64,0,21,64,1,0,1,54,1
2,23,7,428,101,2,4,2,65,6
1,32,3,475,46,1,0,2,28,1
2,7,2,965,86,2,1,2,76,6
2,46,6,356,9,2,0,2,74,10
2,95,1,498,112,1,5,1,92,5
1,70,0,616,133,2,5,1,2,7
2,10,1,276,48,1,4,1,91,3
2,91,7,352,26,2,0,1,1,10
2,48,5,957,118,1,3,2,4,4
1,81,0,211,105,2,3,1,17,1
2,0,0,623,101,1,4,1,70,9
2,76,4,997,187,2,2,1,86,8
1,29,4,375,86,2,2,1,77,2
1,7,0,739,19,1,3,1,55,1
1,67,0,861,1,2,2,1,67,4
1,49,7,776,1,2,2,2,43,6
1,49,5,255,194,2,1,1,83,2
2,12,9,620,88,2,0,2,43,7
2,17,6,261,58,2,5,2,29,9
2,75,1,221,121,2,1,1,101,7
1,69,9,767,108,1,1,2,51,6
1,77,7,229,176,1,3,1,73,10
2,4,5,684,125,1,1,2,22,0
1,50,8,801,44,1,0,2,25,3
2,78,6,467,43,1,2,2,57,0
1,72,4,984,131,2,4,2,79,0
1,71,9,153,58,2,0,1,24,6
2,48,0,475,61,1,3,1,0,0
2,84,0,29,15,1,4,1,21,9
1,58,9,551,162,2,4,2,62,4
2,45,2,5,155,2,1,2,87,1
2,39,8,82,85,2,0,1,4,9
1,33,1,238,158,1,0,2,80,4
2,26,2,161,67,2,1,1,10,2
2,100,3,888,0,2,4,1,17,8
2,77,8,609,148,1,5,2,87,10
2,42,9,500,33,2,0,1,62,4
2,88,5,11,189,2,3,2,19,7
1,0,6,967,122,1,3,2,15,9
1,30,7,627,14,2,3,1,74,4
1,75,8,485,169,2,3,1,94,1
2,68,9,523,169,1,1,2,49,5
1,69,9,712,156,1,0,1,84,4
2,57,7,742,134,1,4,1,100,4
1,59,1,503,53,2,3,2,76,10
1,44,7,183,74,1,3,2,46,3
2,33,3,744,193,2,4,1,46,2
2,2,2,397,197,1,5,1,96,9
1,99,9,323,175,2,0,2,78,10
2,59,6,656,112,1,4,2,70,5
1,2,6,0,191,1,3,1,47,1
1,39,4,735,125,2,2,2,52,1
1,95,8,117,6,1,4,2,13,2
1,92,9,474,152,1,0,1,92,1
1,89,1,263,15,1,2,1,56,7
1,96,9,427,33,2,4,1,80,6
1,86,4,16,176,2,5,1,41,6
2,22,6,341,67,1,0,2,81,0
1,84,10,50,83,2,3,2,62,9
2,45,1,413,196,1,3,1,83,4
2,75,6,397,52,1,5,1,35,0
1,86,2,92,43,1,1,1,78,10
1,76,6,809,192,1,1,2,63,8
2,4,7,617,97,1,5,2,48,8
1,93,3,32,142,1,5,1,102,10
2,35,4,594,81,2,5,2,6,8
1,56,7,237,109,1,3,1,39,9
2,95,9,62,134,2,5,2,99,7
2,68,7,725,70,1,3,2,50,0
1,46,3,300,26,2,5,2,7,5
2,9,2,360,72,2,4,1,54,1
2,8,10,231,104,1,5,2,73,8
2,34,0,918,114,2,4,2,5,1
1,65,7,831,107,1,5,2,53,2
1,58,2,551,77,1,4,1,77,6
1,11,4,767,180,1,5,1,105,9
1,45,0,906,73,2,2,2,46,7
1,49,10,108,111,1,1,2,92,2
1,74,7,968,69,2,4,2,25,2
1,67,1,362,192,1,4,2,33,9
2,78,7,362,58,1,0,1,16,10
2,83,1,810,124,1,3,2,14,4
2,15,2,409,45,2,3,2,66,3
2,68,9,626,89,1,4,2,55,4
2,73,2,139,147,2,1,1,104,9
1,22,2,917,28,1,4,1,38,3
1,58,3,561,199,2,2,2,20,3
2,14,8,799,190,1,1,1,71,3
1,37,9,153,168,2,1,2,85,4
1,83,0,771,172,2,2,2,39,10
1,31,5,553,200,1,2,1,99,4
1,4,7,637,144,1,4,1,83,4
1,46,2,762,154,1,0,2,20,8
1,14,6,150,104,1,2,1,90,4
2,19,0,349,58,1,4,1,52,9
1,43,6,129,168,2,1,2,38,5
1,12,9,345,51,1,1,1,55,8
1,17,4,759,187,1,0,1,87,2
2,62,4,61,29,1,5,2,39,4
1,53,6,26,76,1,2,2,58,7
1,65,2,225,72,1,5,1,2,7
1,66,3,355,167,2,3,2,49,6
1,96,6,115,21,1,2,2,19,7
2,30,1,362,127,2,0,1,46,4
2,84,3,884,187,2,4,1,94,6
1,48,10,717,137,2,2,1,68,3
1,81,0,239,134,2,2,1,49,8
1,83,0,91,42,1,3,1,71,1
1,56,8,646,41,2,3,1,65,0
1,20,9,957,133,1,5,2,89,4
2,53,6,601,84,2,2,1,83,5
1,18,8,947,134,1,0,2,34,5
2,72,2,66,37,1,3,2,83,1
1,74,3,570,32,1,1,2,32,0
1,73,7,843,87,2,0,2,39,9
1,78,8,339,141,2,0,2,101,1
2,1,6,997,183,2,0,1,93,4
2,48,8,350,65,1,1,2,105,1
1,12,2,121,107,1,0,2,53,5
1,100,8,827,69,1,0,1,21,7
2,94,10,81,134,1,4,1,70,5
1,25,4,804,22,2,5,2,103,0
1,48,10,342,162,1,4,1,14,3
1,62,2,280,42,1,5,2,15,4
1,9,0,563,12,1,2,2,68,9
1,30,9,99,45,1,3,2,75,8
2,82,7,71,108,2,5,1,69,4
2,84,4,935,59,2,1,2,6,9
2,29,6,810,17,1,4,2,3,6
2,67,6,313,178,1,3,2,27,6
2,56,6,107,189,2,0,2,57,10
2,32,4,793,191,2,2,2,78,0
1,40,7,637,62,1,1,1,9,9
1,72,1,241,65,1,3,2,4,0
1,27,5,939,105,1,4,1,78,3
2,88,5,746,60,2,2,1,40,8
2,1,6,785,192,2,0,1,52,9
1,70,3,505,77,1,4,2,88,8
2,96,7,489,72,2,0,2,15,0
2,31,7,529,84,2,1,1,1,7
1,100,4,323,182,1,1,1,65,5
2,82,8,447,37,2,2,1,28,0
1,92,3,929,179,1,1,2,72,2
1,10,2,916,192,2,0,2,105,7
2,84,8,314,179,2,4,2,97,4
1,93,9,916,5,1,5,2,43,7
2,49,0,956,43,1,3,1,17,4
2,28,3,596,23,1,0,2,80,4
1,8,1,210,82,2,3,2,43,9
1,62,10,566,31,1,2,1,9,0
1,6,6,157,110,1,0,2,74,8
2,43,0,383,100,1,2,1,37,0
2,88,2,675,112,2,5,1,8,0
2,71,8,430,22,2,5,2,5,2
1,21,4,772,91,2,5,2,75,6
2,80,10,972,82,1,5,1,82,9
2,64,2,493,106,1,5,1,1,7
2,17,10,936,139,1,2,1,62,0
1,28,6,910,184,2,4,2,48,3
1,84,4,960,81,2,1,2,87,5
2,98,2,736,95,2,5,1,56,10
1,32,6,704,7,1,1,2,6,7
2,100,5,452,106,1,1,1,83,9
1,58,7,972,93,1,1,1,38,7
1,0,6,560,168,1,1,1,58,1
2,41,5,833,80,1,1,1,47,3
2,85,2,629,4,1,0,2,89,1
1,50,5,15,69,1,4,2,10,4
1,3,10,70,155,2,1,2,90,1
2,97,7,892,74,1,2,1,17,10
2,62,8,220,101,2,2,2,83,7
1,69,4,112,118,2,3,1,70,1
2,20,8,673,60,2,5,1,17,9
1,60,10,472,195,1,4,2,97,10
2,46,8,993,71,2,1,2,37,5
2,92,4,942,54,1,2,1,104,10
2,55,8,253,181,1,3,1,14,7
2,33,1,264,39,2,4,1,53,10
1,20,8,333,181,2,2,1,30,2
2,33,1,77,134,1,0,2,7,1
1,34,6,313,163,2,5,2,3,1
1,90,5,709,14,1,3,1,35,1
1,96,10,194,15,1,2,2,85,4
2,81,1,145,28,2,5,2,41,8
1,69,6,470,30,1,0,1,87,1
2,75,7,147,74,2,4,1,100,0
2,13,3,98,139,1,0,1,102,1
1,25,6,272,90,1,2,2,25,1
1,49,0,407,112,1,2,1,73,0
1,73,10,142,22,2,0,2,79,10
2,95,9,708,158,2,1,1,51,3
2,60,9,364,196,1,0,2,67,8
2,55,2,750,136,2,3,2,85,6
2,12,0,673,170,2,5,2,1,4
2,21,6,196,18,1,4,2,25,3
2,33,7,713,150,2,4,2,12,5
1,1,8,614,22,1,2,2,52,2
2,92,4,988,139,1,4,2,67,8
1,50,8,755,191,2,3,1,53,6
1,22,8,323,65,2,3,1,83,7
2,70,2,324,112,1,2,2,88,5
2,94,4,887,11,1,1,2,50,9
1,50,0,473,117,1,0,2,70,2
2,68,7,429,47,2,2,2,25,7
1,64,2,254,190,2,2,2,25,9
2,98,4,684,56,1,2,1,55,8
2,43,7,758,40,2,2,2,21,7
1,97,6,805,189,2,3,1,32,2
2,61,3,539,133,1,2,1,59,4
1,28,6,463,35,2,1,2,94,1
2,98,2,165,32,1,3,1,4,6
2,51,2,219,4,2,5,1,100,0
1,15,6,735,164,1,1,1,102,7
1,12,7,3,35,1,1,2,101,1
2,28,8,976,191,2,0,2,97,4
2,43,1,362,26,2,5,2,103,7
1,71,2,140,105,2,5,1,90,7
2,83,4,555,131,1,1,1,2,6
2,68,5,83,73,1,1,1,57,4
1,51,10,399,107,1,2,2,82,4
2,30,6,81,148,1,2,2,56,0
1,94,0,143,28,2,1,1,83,2
2,96,0,464,12,1,5,1,32,5
1,66,6,831,169,2,5,2,83,2
1,95,9,725,163,2,5,1,39,2
2,1,2,506,163,1,4,1,46,6
1,20,9,399,48,1,0,1,6,2
1,47,4,399,140,1,5,1,37,8
2,76,3,936,82,1,0,2,8,2
2,57,9,438,86,2,1,1,44,1
1,79,1,552,48,2,2,2,98,8
1,34,6,677,183,1,0,2,49,8
1,10,6,469,68,2,3,1,88,1
1,58,6,499,133,1,4,2,95,0
1,89,7,173,11,1,3,1,7,10
1,35,7,96,184,1,3,2,17,2
2,34,9,901,180,1,4,2,91,1
1,84,1,751,156,1,0,2,22,7
2,38,1,771,90,1,0,2,11,9
1,29,1,699,90,2,5,2,22,6
2,52,10,791,141,1,5,1,83,9
1,96,3,286,191,1,2,2,71,5
2,73,2,254,32,1,3,1,20,7
1,52,6,423,130,2,0,1,40,4
1,21,9,922,156,2,5,2,19,0
2,61,5,830,56,2,5,2,56,7
1,88,2,715,130,2,4,2,36,4
1,29,8,538,60,2,5,2,75,5
2,76,0,709,58,1,0,2,26,1
2,89,2,67,67,2,3,1,40,10
1,89,5,748,96,2,0,1,57,9
1,38,7,67,95,1,1,1,56,3
2,40,1,688,92,2,5,2,30,6
1,84,0,708,153,1,2,1,61,2
2,78,7,43,147,2,4,2,104,3
1,21,3,866,75,2,4,2,19,10
2,75,0,720,77,2,1,1,1,3
1,80,2,155,147,2,1,1,68,8
2,28,10,189,196,2,4,2,90,0
1,0,5,148,56,1,5,2,72,4
2,82,1,574,172,2,2,2,96,7
1,89,0,316,9,1,5,2,9,6
1,6,5,224,178,2,5,2,92,5
2,93,3,579,78,2,4,2,95,7
2,57,3,17,141,2,1,2,102,2
2,81,2,386,89,2,2,2,28,2
2,86,5,285,2,1,3,2,25,0
1,17,8,260,135,1,0,2,61,9
1,67,2,712,13,2,2,2,21,7
1,17,6,72,136,2,2,1,20,8
1,57,5,830,99,2,5,2,101,7
1,91,6,38,77,2,2,1,55,0
1,60,3,173,130,2,2,1,26,8
2,63,0,466,16,1,1,2,59,7
2,56,10,434,158,2,1,1,82,10
1,1,1,500,112,2,2,1,34,2
1,9,4,827,81,1,3,2,67,2
2,78,2,433,109,1,1,1,76,0
2,52,8,865,29,2,3,1,64,0
1,24,2,287,163,2,2,1,94,1
2,19,3,81,160,2,2,1,7,3
1,99,9,283,162,2,0,1,90,8
2,56,6,254,30,2,0,2,85,2
2,85,9,473,73,1,4,1,29,8
1,92,5,167,55,1,1,2,97,10
2,64,10,215,95,1,5,2,13,0
2,38,7,135,186,2,1,2,60,8
2,93,10,473,162,2,4,2,101,7
1,75,3,254,104,1,1,1,78,5
2,16,3,926,24,2,0,1,30,9
2,94,6,26,76,2,4,1,72,3
1,26,2,554,96,1,0,2,85,9
2,50,5,554,56,1,0,2,44,4
1,6,0,41,56,2,1,1,44,3
2,69,4,631,144,1,3,1,14,1
2,39,10,607,95,2,2,2,94,6
2,4,5,462,111,2,2,2,93,2
1,59,5,347,121,2,5,1,58,8
2,73,0,591,77,2,0,1,30,9
1,31,8,247,165,1,0,2,44,0
2,70,2,478,32,1,0,2,5,1
1,39,9,401,115,1,1,2,23,9
2,55,5,148,168,2,2,2,21,0
2,88,5,219,160,2,4,1,49,3
2,7,2,59,22,2,5,1,91,2
2,91,7,690,7,1,2,1,86,7
2,16,2,49,62,2,4,1,51,0
1,84,5,768,149,1,4,1,61,5
1,13,1,759,8,2,5,1,67,9
2,43,9,378,52,2,0,1,70,4
1,29,2,682,142,2,2,1,45,0
2,55,10,638,59,2,2,1,83,9
2,60,5,620,169,2,0,2,34,2
1,65,6,736,128,2,0,2,38,8
1,34,10,816,50,1,2,1,99,2
2,33,8,937,65,1,3,2,38,4
2,35,8,838,114,1,3,2,33,2
2,38,9,463,33,2,0,1,81,1
1,25,4,293,92,1,4,2,67,5
1,37,5,866,10,1,3,2,67,4
1,6,6,256,105,1,5,2,75,1
2,0,9,983,175,1,0,1,18,3
2,61,10,403,150,1,1,2,52,5
2,98,5,870,78,2,0,2,80,3
1,74,4,640,49,2,5,1,96,4
1,17,8,765,7,2,1,2,39,10
1,30,8,934,63,2,0,2,57,10
1,28,9,627,165,2,1,1,28,0
1,69,2,754,109,1,2,1,70,8
1,44,4,227,164,2,3,2,83,8
1,9,7,726,91,1,4,2,5,0
2,61,2,692,46,1,5,2,54,4
1,42,6,115,178,2,5,2,94,9
1,98,3,749,199,1,3,1,1,2
2,54,9,285,197,2,4,2,38,2
2,25,6,507,200,1,3,2,51,0
1,59,10,70,105,1,2,1,102,10
1,15,10,500,182,1,4,1,1,2
1,33,0,823,61,2,3,2,47,5
1,53,5,882,6,2,4,1,15,8
1,60,4,248,194,1,5,2,37,10
2,11,8,930,17,2,2,2,30,1
2,72,5,531,133,2,3,1,58,9
1,52,3,585,137,2,1,2,84,5
1,4,7,533,79,1,2,2,48,3
2,24,8,24,55,2,2,2,100,1
2,97,8,487,135,1,1,2,78,0
1,64,0,601,134,2,3,2,14,10
1,35,7,264,111,1,3,1,32,10
1,13,5,733,141,2,5,2,60,6
1,75,1,793,183,1,5,1,12,4
1,99,5,712,47,2,3,1,68,0
2,77,2,622,193,2,4,2,75,5
2,86,2,223,24,2,1,2,101,8
1,3,5,901,169,2,0,2,103,4
1,56,7,388,24,2,4,1,71,1
2,53,4,720,99,2,2,1,93,2
1,44,6,481,101,1,2,1,39,4
2,80,0,521,47,1,0,1,28,4
2,90,8,502,186,2,3,2,20,1
1,54,2,416,170,1,4,1,78,4
2,23,4,370,17,2,5,2,14,1
2,46,0,672,65,2,5,2,92,3
1,83,1,68,109,1,2,2,23,5
1,90,5,209,77,2,2,1,6,5
1,98,9,352,159,1,1,1,39,1
1,59,9,503,34,1,1,1,10,3
2,73,9,221,90,1,5,1,76,2
1,13,5,386,71,1,0,1,79,4
1,10,0,863,200,1,4,2,97,0
2,32,3,469,69,2,2,2,105,3
2,90,6,935,171,1,4,1,87,3
2,50,10,316,100,1,3,2,60,6
2,19,7,341,119,1,5,2,29,10
1,89,3,618,86,1,0,2,9,8
1,21,4,785,127,2,5,1,16,7
1,53,8,997,11,1,4,2,98,8
2,17,0,698,190,2,4,1,9,8
2,15,10,65,197,1,2,2,56,8
1,4,9,917,139,1,4,2,35,7
1,71,9,124,33,2,2,1,54,6
1,98,0,473,109,2,4,2,50,8
2,94,2,163,178,1,1,1,97,10
2,90,3,993,101,2,2,2,98,9
2,62,7,123,181,1,0,2,60,6
1,72,1,768,146,2,2,2,80,1
1,65,4,235,123,2,3,2,90,1
2,66,2,320,108,2,2,1,33,10
2,69,8,598,142,1,0,2,97,5
2,26,8,115,49,1,4,2,19,8
1,3,2,200,41,2,3,1,58,7
2,31,10,333,72,1,3,2,44,5
1,66,1,155,10,1,4,1,99,3
2,39,4,266,171,1,2,2,67,1
2,77,9,100,114,1,4,1,87,7
2,85,1,829,135,1,3,2,47,8
2,74,5,951,73,2,4,1,44,7
1,53,3,463,132,1,0,1,10,2
1,63,4,841,123,1,2,1,92,9
2,69,6,232,86,2,0,1,102,0
1,83,0,163,5,1,0,2,55,4
2,29,1,927,131,1,5,1,25,2
2,56,8,781,169,1,2,1,71,10
1,97,4,827,24,2,5,1,52,5
2,4,10,198,177,1,1,2,17,0
2,25,9,711,75,1,5,1,0,4
1,45,5,125,152,1,2,1,50,1
2,57,6,738,53,1,1,1,95,6
2,79,2,609,125,1,5,1,32,6
1,32,7,251,87,2,4,2,53,5
2,96,0,219,74,2,4,1,78,9
1,26,4,477,168,2,5,2,6,8
1,93,1,79,7,2,2,1,99,0
1,42,1,74,77,1,1,1,100,0
1,20,9,196,8,2,2,2,101,0
2,13,8,313,87,1,3,2,0,9
2,10,5,375,27,2,0,2,11,8
2,37,2,361,166,1,5,2,35,5
2,74,7,77,124,2,3,1,10,2
1,9,8,684,158,1,3,2,84,6
1,44,2,84,147,1,1,1,58,5
2,44,0,64,138,2,2,2,16,4
2,90,0,918,32,1,4,2,91,9
2,10,9,449,38,1,5,1,104,5
2,4,3,876,173,1,1,2,89,6
2,36,3,885,63,1,3,1,6,8
1,54,4,325,36,1,4,1,37,9
1,45,1,646,51,2,0,2,54,10
1,23,10,917,31,1,4,2,2,0
1,50,9,524,191,1,3,2,39,2
2,91,7,782,120,1,2,1,11,9
1,82,4,323,169,1,0,1,53,10
2,24,0,761,80,2,4,2,77,2
2,38,5,94,28,1,2,2,98,10
1,47,5,632,196,1,4,1,10,7
2,38,5,721,154,2,0,1,44,9
1,40,3,309,39,2,5,2,52,3
1,29,8,852,70,2,0,2,100,3
1,52,8,29,73,2,0,2,75,9
2,89,5,612,176,1,2,2,93,2
1,65,9,713,169,1,2,2,62,8
2,28,6,860,111,1,5,1,81,7
2,7,4,541,53,2,5,2,76,0
2,32,7,499,118,1,4,1,86,1
2,73,2,321,104,2,4,1,37,4
1,48,9,59,125,1,3,1,81,2
2,10,5,117,106,2,1,2,6,3
2,34,0,237,140,1,1,2,6,9
2,25,8,34,163,2,0,1,64,3
1,65,1,234,154,2,1,2,5,2
1,75,3,504,189,1,5,2,72,5
1,14,3,641,177,1,3,2,19,1
2,63,1,663,184,1,0,2,58,8
2,62,5,573,57,2,5,2,52,9
1,12,10,131,145,1,4,1,51,1
1,35,0,236,31,2,5,2,78,6
2,13,7,947,96,2,3,1,69,6
2,64,6,595,107,1,1,1,103,7
1,58,10,928,164,2,5,2,57,3
2,86,5,302,159,2,1,2,92,8
1,3,1,173,8,2,2,1,99,5
2,16,2,863,22,2,3,1,73,3
1,19,2,540,16,2,2,1,56,2
2,18,3,920,187,2,4,1,93,1
1,57,6,583,123,1,2,1,99,1
1,18,1,267,143,2,0,2,43,6
1,56,8,979,162,1,0,1,29,10
1,100,2,389,189,1,3,2,38,2
2,34,3,186,133,2,2,1,86,6
1,69,9,233,150,1,2,2,65,5
2,80,3,963,49,2,1,2,105,6
2,95,7,2,197,2,0,2,23,8
1,89,7,611,73,1,0,2,104,7
1,94,4,395,79,1,2,2,55,5
1,52,7,190,62,1,0,1,17,0
1,60,5,749,57,1,4,1,39,10
2,49,8,863,186,1,5,1,71,1
2,99,6,966,58,2,1,1,77,6
1,28,4,420,4,2,5,1,75,6
1,19,8,99,101,1,0,1,61,6
1,92,8,136,28,1,5,1,11,2
1,67,10,439,115,2,2,1,65,5
2,72,1,936,50,1,0,2,10,8
2,91,8,705,126,2,4,2,100,7
1,65,3,85,38,2,4,2,53,6
2,43,9,637,163,1,4,1,52,9
1,42,6,427,13,2,2,1,100,3
2,95,0,388,19,1,3,1,88,7
1,54,0,579,120,2,5,1,78,6
1,14,5,729,73,2,5,1,9,2
1,48,2,14,140,2,0,1,0,3
1,65,7,777,77,2,0,1,10,10
1,17,8,591,112,1,2,1,15,3
1,49,7,487,140,2,3,2,53,0
2,70,6,677,55,1,4,1,84,9
2,25,7,800,102,1,3,1,103,10
2,58,10,402,163,2,4,2,26,9
1,76,0,272,142,1,5,1,63,2
1,26,10,958,72,2,0,2,59,3
1,65,2,63,145,2,5,1,89,2
1,99,6,981,167,1,5,2,22,2
2,19,9,302,80,2,2,1,35,8
2,54,3,871,10,2,1,1,95,1
1,75,2,793,49,1,1,1,104,1
2,12,3,54,29,1,0,2,72,10
1,45,0,159,170,2,4,1,55,8
2,26,10,869,132,1,5,2,47,4
2,99,8,563,167,1,0,1,71,3
1,37,1,576,154,2,0,1,21,5
1,63,4,178,192,1,2,2,6,8
2,9,6,403,59,2,0,2,87,9
2,45,1,6,174,1,0,2,59,10
2,1,1,891,173,2,3,2,73,10
2,17,9,725,138,2,2,2,15,7
2,37,5,738,69,1,4,1,46,8
2,44,9,669,126,1,3,2,23,6
1,77,6,14,196,2,5,2,43,5
1,85,3,446,75,2,1,2,11,6
1,19,7,936,152,2,4,1,57,4
1,60,2,730,86,2,1,2,13,6
1,45,0,276,30,2,2,2,7,0
1,45,8,575,193,1,0,2,57,9
2,69,8,704,73,1,2,2,63,5
2,32,5,756,50,2,2,1,53,2
2,85,10,889,9,2,1,1,72,10
1,77,6,815,10,1,5,2,57,0
1,94,9,130,52,1,0,2,78,5
2,31,0,87,117,1,4,2,31,2
1,35,1,755,101,1,2,2,90,6
2,6,3,473,198,2,2,2,70,6
2,15,4,185,198,1,5,1,55,2
1,63,2,566,151,1,3,1,11,10
2,61,4,300,189,1,0,2,38,8
1,18,3,775,33,1,5,2,35,6
1,40,8,740,136,2,3,1,79,4
1,61,0,468,55,2,1,2,34,5
2,67,7,815,171,1,0,2,8,10
1,0,6,809,5,1,4,2,45,2
1,9,0,401,28,1,2,1,5,3
1,34,2,217,17,1,0,1,92,5
2,94,4,935,42,2,1,2,80,7
2,33,2,558,143,2,5,1,82,7
1,5,8,220,147,1,3,1,23,7
2,15,1,828,199,2,0,2,18,4
1,11,5,821,141,2,3,2,50,2
2,95,0,764,51,2,1,1,55,10
1,58,10,267,17,1,1,2,88,5
2,45,1,352,103,2,3,1,12,8
2,52,2,704,197,1,2,2,71,0
1,40,7,109,134,2,3,1,98,8
1,80,2,435,18,1,2,1,36,7
2,97,9,92,167,2,2,1,85,0
2,67,8,21,67,2,4,2,34,9
1,48,7,795,172,2,3,2,12,6
2,77,8,616,153,2,0,1,17,4
2,10,0,145,200,2,2,2,59,10
2,37,5,504,34,2,2,2,101,0
1,87,3,548,67,1,3,2,53,0
2,52,0,210,186,2,1,2,59,3
2,20,9,738,136,2,4,1,28,0
2,80,1,524,95,2,4,1,59,1
2,47,0,604,185,2,1,1,32,3
2,44,8,603,25,1,4,2,25,2
1,73,4,228,196,2,0,1,42,5
2,56,7,667,63,2,4,2,72,8
2,65,6,26,67,1,0,2,17,4
1,44,2,887,36,1,0,2,5,7
2,92,2,885,183,2,1,1,77,0
2,61,4,574,36,1,0,2,58,6
2,88,3,894,83,1,2,2,20,7
2,79,8,399,200,1,5,1,53,4
1,28,5,902,151,1,0,1,18,8
2,80,6,428,88,2,5,2,68,0
2,9,4,391,99,2,2,2,71,9
1,4,10,973,113,1,5,1,43,9
2,39,8,877,22,1,4,2,21,7
1,38,9,247,69,2,2,2,62,9
1,16,10,652,158,2,5,2,21,10
2,79,0,802,198,2,4,2,102,3
2,37,4,616,36,1,3,2,15,7
1,17,0,144,163,2,3,2,54,0
2,6,0,671,127,1,0,1,53,8
2,6,5,395,25,2,5,2,76,7
1,84,9,945,184,1,4,2,67,4
2,25,3,315,117,1,0,2,104,0
1,60,8,5,105,1,2,2,61,7
2,22,1,473,154,1,0,1,100,10
2,48,10,776,25,2,3,1,67,7
1,8,4,602,4,1,1,2,72,0
1,48,10,301,149,1,2,1,21,4
1,35,6,703,68,2,2,1,68,4
2,97,9,81,64,1,5,1,49,8
1,63,10,47,147,1,4,2,49,6
2,54,4,649,56,2,1,1,62,2
1,76,1,656,173,1,1,1,58,2
1,70,0,133,17,2,5,1,95,3
2,29,10,50,169,2,2,1,97,1
2,87,5,722,161,2,0,2,18,9
1,23,8,773,18,1,3,2,86,9
1,91,4,454,167,1,4,2,74,0
1,88,1,171,84,2,0,1,96,0
2,68,4,508,112,2,3,2,22,10
2,79,7,872,12,2,3,2,8,1
2,11,1,907,54,2,1,1,76,3
2,22,4,885,77,2,4,2,94,4
2,27,8,783,85,2,1,1,28,7
2,55,2,604,173,1,0,1,86,9
1,14,8,410,99,1,0,1,99,5
2,58,8,939,56,2,5,1,19,9
1,19,9,398,138,1,1,1,13,1
1,13,6,391,95,1,1,1,68,1
1,0,4,213,1,1,4,2,9,6
2,84,8,797,62,1,2,1,82,8
1,59,4,310,123,1,0,2,2,5
1,10,5,813,191,2,4,1,64,5
2,70,3,449,178,1,3,2,22,3
2,16,3,907,171,1,2,2,102,4
2,60,9,640,69,2,3,1,12,9
1,36,9,788,92,2,5,2,59,9
1,4,9,311,182,1,1,1,79,0
1,63,4,467,189,1,0,1,100,2
2,60,7,374,41,2,5,2,61,0
2,30,6,796,150,1,4,2,63,9
1,70,0,77,190,1,0,1,1,5
1,0,8,408,1,2,3,2,39,4
2,21,3,495,180,2,1,1,96,0
2,1,6,544,117,1,3,1,99,1
1,17,9,179,198,2,3,2,1,1
2,24,0,464,102,1,5,2,7,1
1,28,0,197,59,1,0,1,77,1
1,46,10,987,116,2,1,2,104,5
1,65,8,208,76,2,3,1,93,3
2,40,0,454,119,2,3,2,9,10
2,67,9,783,195,1,5,2,102,5
2,21,9,207,175,1,2,1,49,8
1,58,8,503,187,2,0,1,93,3
2,43,6,167,102,2,5,1,68,2
1,4,4,64,199,1,2,2,99,8
1,5,7,98,137,1,3,1,30,0
1,54,0,547,99,1,3,2,66,0
2,76,6,722,74,1,5,1,34,8
1,45,6,576,91,2,3,1,22,2
2,13,7,718,171,2,1,1,18,4
2,97,2,766,19,2,1,1,74,1
2,57,3,584,169,2,4,1,12,2
2,10,1,370,47,1,3,1,28,10
2,33,3,765,162,1,2,2,103,3
1,60,9,891,95,2,2,1,25,3
1,1,8,22,18,1,5,1,20,1
2,66,2,390,28,2,3,2,68,2
2,95,9,198,88,1,5,2,47,6
1,73,0,335,34,1,1,2,55,6
1,71,5,453,116,1,4,2,21,2
1,83,8,69,33,2,5,1,54,3
2,55,6,722,67,1,2,1,91,9
1,54,6,458,190,2,3,1,61,4
2,12,8,6,96,2,5,2,5,5
2,95,1,622,185,2,5,2,76,1
2,8,3,700,142,2,0,1,58,2
2,70,2,855,29,1,3,2,57,8
2,0,2,369,45,1,2,1,39,10
